$ python process_train_nov25_newtrain_conf.py 
train_data_size, train_data_true_count, train_data_false_count:
1645 813 832
val_data_size, val_data_true_count, val_data_false_count:
470 243 227
test_data_size, test_data_true_count, test_data_false_count:
235 109 126
epoch: 4200, train acc: 0.6419452887537994, val acc: 0.5765957446808511
epoch: 4220, train acc: 0.6559270516717325, val acc: 0.5638297872340425
epoch: 4240, train acc: 0.6759878419452887, val acc: 0.6021276595744681
epoch: 4260, train acc: 0.6711246200607903, val acc: 0.6
epoch: 4280, train acc: 0.6717325227963525, val acc: 0.5893617021276596
epoch: 4300, train acc: 0.6632218844984803, val acc: 0.6234042553191489
epoch: 4320, train acc: 0.6534954407294833, val acc: 0.5872340425531914
epoch: 4340, train acc: 0.6364741641337386, val acc: 0.5851063829787234
epoch: 4360, train acc: 0.6638297872340425, val acc: 0.6
epoch: 4380, train acc: 0.6480243161094225, val acc: 0.6085106382978723
epoch: 4400, train acc: 0.6401215805471124, val acc: 0.5872340425531914
epoch: 4420, train acc: 0.6303951367781155, val acc: 0.6085106382978723
epoch: 4440, train acc: 0.6693009118541033, val acc: 0.6276595744680851
epoch: 4460, train acc: 0.6638297872340425, val acc: 0.597872340425532
epoch: 4480, train acc: 0.6595744680851063, val acc: 0.5808510638297872
epoch: 4500, train acc: 0.6735562310030395, val acc: 0.5914893617021276
epoch: 4520, train acc: 0.6674772036474164, val acc: 0.5765957446808511
epoch: 4540, train acc: 0.6802431610942249, val acc: 0.5914893617021276
epoch: 4560, train acc: 0.6650455927051672, val acc: 0.6170212765957447
epoch: 4580, train acc: 0.6498480243161094, val acc: 0.5851063829787234
epoch: 4600, train acc: 0.6474164133738601, val acc: 0.6127659574468085
epoch: 4620, train acc: 0.6565349544072948, val acc: 0.6127659574468085
epoch: 4640, train acc: 0.6601823708206687, val acc: 0.6106382978723405
epoch: 4660, train acc: 0.6534954407294833, val acc: 0.6
epoch: 4680, train acc: 0.6595744680851063, val acc: 0.5872340425531914
epoch: 4700, train acc: 0.6419452887537994, val acc: 0.6042553191489362
epoch: 4720, train acc: 0.6547112462006079, val acc: 0.6085106382978723
epoch: 4740, train acc: 0.6571428571428571, val acc: 0.6
epoch: 4760, train acc: 0.660790273556231, val acc: 0.6191489361702127
epoch: 4780, train acc: 0.6534954407294833, val acc: 0.5893617021276596
epoch: 4800, train acc: 0.6498480243161094, val acc: 0.6063829787234043
epoch: 4820, train acc: 0.6449848024316109, val acc: 0.574468085106383
epoch: 4840, train acc: 0.6559270516717325, val acc: 0.5765957446808511
epoch: 4860, train acc: 0.676595744680851, val acc: 0.5723404255319149
epoch: 4880, train acc: 0.668693009118541, val acc: 0.6021276595744681
epoch: 4900, train acc: 0.6595744680851063, val acc: 0.5808510638297872
epoch: 4920, train acc: 0.6772036474164134, val acc: 0.6276595744680851
epoch: 4940, train acc: 0.6717325227963525, val acc: 0.5829787234042553
epoch: 4960, train acc: 0.6632218844984803, val acc: 0.6
epoch: 4980, train acc: 0.6656534954407295, val acc: 0.6042553191489362
epoch: 5000, train acc: 0.6516717325227963, val acc: 0.5808510638297872
epoch: 5020, train acc: 0.6772036474164134, val acc: 0.5872340425531914
epoch: 5040, train acc: 0.6541033434650456, val acc: 0.5957446808510638
epoch: 5060, train acc: 0.6559270516717325, val acc: 0.6063829787234043
